date,year,month,Mean_Temperature
2016-01,2016,1,6.1
2016-02,2016,2,11.2
2016-03,2016,3,10.9
2016-04,2016,4,17.5
2016-05,2016,5,20.3
2016-06,2016,6,27.3
2016-07,2016,7,29.2
2016-08,2016,8,27.7
2016-09,2016,9,21.9
2016-10,2016,10,16.7
2016-11,2016,11,10.7
2016-12,2016,12,4.6
2017-01,2017,1,0.7
2017-02,2017,2,8.4
2017-03,2017,3,12.0
2017-04,2017,4,15.0
2017-05,2017,5,20.8
2017-06,2017,6,26.7
2017-07,2017,7,28.1
2017-08,2017,8,27.5
2017-09,2017,9,23.6
2017-10,2017,10,16.3
2017-11,2017,11,10.7
2017-12,2017,12,7.0
2018-01,2018,1,6.7
2018-02,2018,2,8.3
2018-03,2018,3,12.2
2018-04,2018,4,17.3
2018-05,2018,5,22.4
2018-06,2018,6,25.4
2018-07,2018,7,27.8
2018-08,2018,8,26.9
2018-09,2018,9,22.6
2018-10,2018,10,17.2
2018-11,2018,11,11.9
2018-12,2018,12,5.5
2019-01,2019,1,3.7
2019-02,2019,2,7.5
2019-03,2019,3,11.7
2019-04,2019,4,14.3
2019-05,2019,5,20.4
2019-06,2019,6,27.2
2019-07,2019,7,28.0
2019-08,2019,8,28.4
2019-09,2019,9,23.5
2019-10,2019,10,18.3
2019-11,2019,11,14.6
2019-12,2019,12,8.1
2020-01,2020,1,4.7
2020-02,2020,2,8.7
2020-03,2020,3,10.8
2020-04,2020,4,13.6
2020-05,2020,5,20.6
2020-06,2020,6,25.3
2020-07,2020,7,28.2
2020-08,2020,8,27.3
2020-09,2020,9,23.9
2020-10,2020,10,18.0
2020-11,2020,11,11.4
2020-12,2020,12,9.9
2021-01,2021,1,7.2
2021-02,2021,2,7.6
2021-03,2021,3,9.2
2021-04,2021,4,13.6
2021-05,2021,5,22.2
2021-06,2021,6,25.9
2021-07,2021,7,29.6
2021-08,2021,8,28.7
2021-09,2021,9,28.7
2021-10,2021,10,14.6
2021-11,2021,11,12.0
2021-12,2021,12,7.2
2022-01,2022,1,4.8
2022-02,2022,2,7.7
2022-03,2022,3,7.4
2022-04,2022,4,15.1
2022-05,2022,5,21.5
2022-06,2022,6,27.1
2022-07,2022,7,28.5
2022-08,2022,8,27.5
2022-09,2022,9,23.2
2022-10,2022,10,17.3
2022-11,2022,11,13.5
2022-12,2022,12,9.5
2023-01,2023,1,7.7
2023-02,2023,2,7.4
2023-03,2023,3,11.6
2023-04,2023,4,14.2
2023-05,2023,5,18.4
2023-06,2023,6,24.5
2023-07,2023,7,31.2
2023-08,2023,8,28.8
2023-09,2023,9,22.7
2023-10,2023,10,19.0
2023-11,2023,11,12.8
2023-12,2023,12,8.2
2024-01,2024,1,6.9
2024-02,2024,2,10.0
2024-03,2024,3,12.0
2024-04,2024,4,17.6
2024-05,2024,5,20.3
2024-06,2024,6,29.9
2024-07,2024,7,30.8
2024-08,2024,8,28.9
2024-09,2024,9,23.0
2024-10,2024,10,17.9
2024-11,2024,11,10.4
2024-12,2024,12,8.1
2025-01,2025,1,7.1
2025-02,2025,2,6.7
2025-03,2025,3,11.8
2025-04,2025,4,14.2
2025-05,2025,5,20.4
2025-06,2025,6,28.1
2025-07,2025,7,30.8
2025-08,2025,8,27.7
2025-09,2025,9,23.9
2025-10,2025,10,16.3
2025-11,2025,11,13.3
2025-12,2025,12,8.0
